"ID",GEO_NAME,HIMEDBYX,HIAVGBYX,INCPHMBYX,VACANTHUBY,POPDENBY,CAPINCBY,HHCHG2KBY,POPCH2KBY,MEDINC2KBY,ED10HSCHBYX,NOHSDIPBY,COLNODEGBY,COLLDEGBY,PRODEGBY,FC15OF18BYX,ECPOP16PBYX,HVMEDBY,HVAVGBY,MS03PMARBYX,WHTPOPBYX,POPBYX,P0004BYX,P0509BYX,P1014BYX,P1519BYX,P2024BYX,P2529BYX,P3034BYX,P3539BYX,P4044BYX,P4549BYX,P5054BYX,P5559BYX,P6064BYX,P6569BYX,P7074BYX,P7579BYX,P8084BYX,P85PBYX,POPBY,HHBY,LON,LAT
"191690013012","",32118.565217391304000000,50276.100303951367000000,22222.351545006717000000,49.000000000000000000,5349.507380398876200000,22222.351545006717000000,0.312500000000000000,0.419949174078780190,0.130975218049625140,0.148958333333333330,0.015625000000000000,0.164583333333333330,0.411458333333333310,0.259374999999999970,0.055724417426545089,1.000000000000000000,119588.000000000000000000,110713.000000000000000000,0.346432264736297850,0.756599552572706950,1.000000000000000000,0.065771812080536909,0.038926174496644296,0.029977628635346757,0.059060402684563758,0.376733780760626410,0.144966442953020140,0.071140939597315433,0.035794183445190156,0.032662192393736016,0.025950782997762864,0.030425055928411632,0.029082774049217001,0.022818791946308724,0.013422818791946308,0.006263982102908278,0.008948545861297539,0.004474272930648770,0.003579418344519016,2235.000000000000000000,987.000000000000000000,-93.669380187988281000,42.019802093505859000
"191690013013","",27022.809523809523000000,38171.799912049253000000,16699.244517121970000000,116.000000000000000000,5679.511573291958500000,16699.244517121970000000,2.685575364667747200,2.118176364727054400,-0.152921155896377000,0.060266292922214436,0.019621583742116328,0.124737210932025220,0.615276804484933490,0.180098107918710560,0.021547933157431837,1.000000000000000000,220701.000000000000000000,207378.000000000000000000,0.118142592973084030,0.863409003462870310,1.000000000000000000,0.033089649865332818,0.016929588303193535,0.013659099653712967,0.064832627933820705,0.596960369372835700,0.123893805309734510,0.041939207387456712,0.023085802231627549,0.011927664486340901,0.013081954597922277,0.010773374374759523,0.007502885725278953,0.007310504040015391,0.006540977298961139,0.005386687187379761,0.004424778761061947,0.005963832243170450,0.012697191227395151,5198.000000000000000000,2274.000000000000000000,-93.676856994628906000,42.012500762939453000
"191690013021","",63810.475409836065000000,81504.000000000000000000,41850.822977725671000000,88.000000000000000000,119.104290840350020000,41850.822977725671000000,0.175838926174496650,0.069325153374233131,0.031297078091541919,0.069506726457399109,0.048579970104633781,0.147234678624813150,0.443946188340807120,0.290732436472346810,0.013698630136986301,1.000000000000000000,246970.000000000000000000,269801.000000000000000000,0.596879063719115700,0.909351692484222650,1.000000000000000000,0.041308089500860588,0.037865748709122203,0.038439472174411932,0.039586919104991396,0.075157773952954671,0.100401606425702810,0.081468732071141706,0.047045324153757888,0.044176706827309238,0.071141709695926564,0.082042455536431441,0.067125645438898457,0.055077452667814115,0.038439472174411932,0.029833620195065979,0.036718301778542739,0.043029259896729774,0.071141709695926564,1743.000000000000000000,876.000000000000000000,-93.646247863769531000,41.993713378906250000
"191690013022","",53883.892086330932000000,68471.500000000000000000,27975.348890589135000000,38.000000000000000000,317.371813466498620000,27975.348890589135000000,0.495798319327731110,0.326582278481012680,-0.035617781323496939,0.148666666666666670,0.016666666666666666,0.278000000000000020,0.411333333333333330,0.145333333333333310,0.042134831460674156,1.000000000000000000,163399.000000000000000000,206592.000000000000000000,0.503208065994500410,0.902671755725190870,1.000000000000000000,0.062977099236641215,0.053053435114503819,0.051145038167938930,0.067557251908396940,0.192748091603053420,0.116412213740458010,0.072900763358778625,0.062595419847328249,0.044656488549618317,0.050763358778625957,0.055343511450381681,0.064503816793893123,0.037786259541984731,0.020229007633587787,0.020229007633587787,0.012595419847328244,0.009923664122137405,0.004580152671755725,2620.000000000000000000,1068.000000000000000000,-93.603118896484375000,41.991985321044922000
"191690101001","",67596.402597402601000000,81200.900302114809000000,31939.985739750446000000,30.000000000000000000,552.836563924159350000,31939.985739750446000000,0.094214876033057851,0.120505992010652460,0.463773346975629940,0.259892086330935250,0.032374100719424460,0.246402877697841720,0.391187050359712240,0.070143884892086339,0.042296072507552872,1.000000000000000000,133560.000000000000000000,136816.000000000000000000,0.600154083204930690,0.986928104575163450,1.000000000000000000,0.076054664289958412,0.070707070707070704,0.081996434937611412,0.055258467023172907,0.055258467023172907,0.065953654188948302,0.077243018419489010,0.071301247771836010,0.071301247771836010,0.070112893642305413,0.071301247771836010,0.061794414735591205,0.045751633986928102,0.045751633986928102,0.023767082590612002,0.019607843137254902,0.023767082590612002,0.013071895424836602,1683.000000000000000000,662.000000000000000000,-93.683876037597656000,41.877838134765625000
"191690101002","",70821.784810126584000000,90785.100609756104000000,34991.202115158638000000,30.000000000000000000,59.808497403103217000,34991.202115158638000000,0.031446540880503145,0.043531575720416923,0.401579695630457200,0.343664539653600720,0.066545123062898823,0.249772105742935290,0.239744758432087530,0.100273473108477660,0.054878048780487805,1.000000000000000000,151754.000000000000000000,171409.000000000000000000,0.551036070606293120,0.965334900117508780,1.000000000000000000,0.077555816686251472,0.069330199764982378,0.087544065804935373,0.082843713278495892,0.038190364277320796,0.064629847238542884,0.062279670975323151,0.056404230317273797,0.074030552291421858,0.077555816686251472,0.076968272620446532,0.065217391304347824,0.052291421856639250,0.038190364277320796,0.030552291421856639,0.017626321974148061,0.017038777908343124,0.011750881316098707,1702.000000000000000000,656.000000000000000000,-93.628890991210937000,41.910549163818359000
"191690101003","",85471.972972972973000000,96817.500000000000000000,34015.997794928335000000,118.000000000000000000,255.201665891329410000,34015.997794928335000000,0.405882352941176470,0.527793374508703010,0.633831776090778450,0.210329807093963900,0.035469819539514627,0.195395146235220890,0.434971997510889890,0.123833229620410710,0.069037656903765690,1.000000000000000000,186735.000000000000000000,223095.000000000000000000,0.704392764857881160,0.960308710033076050,1.000000000000000000,0.095920617420066148,0.108416023520764420,0.084527747151782434,0.066152149944873215,0.054391767732451302,0.058066887173833147,0.072032341051084164,0.076074972436604188,0.075339948548327818,0.068724733553840497,0.058801911062109517,0.055494303564865857,0.041161337743476661,0.031238515251745681,0.020948180815876516,0.012127894156560088,0.006615214994487321,0.013965453877251011,2721.000000000000000000,956.000000000000000000,-93.597953796386719000,41.902172088623047000
"191690101004","",63471.222222222219000000,72969.099762470316000000,27428.563392857144000000,42.000000000000000000,40.836098787043802000,27428.563392857144000000,0.007177033492822967,0.021897810218978103,0.436563639957157910,0.302739726027397240,0.079452054794520541,0.276712328767123260,0.294520547945205490,0.046575342465753428,0.040380047505938245,1.000000000000000000,143103.000000000000000000,267053.000000000000000000,0.720092915214866400,0.967857142857142860,1.000000000000000000,0.072321428571428578,0.085714285714285715,0.073214285714285718,0.070535714285714285,0.046428571428571430,0.049107142857142856,0.071428571428571425,0.063392857142857140,0.079464285714285710,0.077678571428571430,0.065178571428571433,0.069642857142857145,0.056250000000000001,0.047321428571428570,0.030357142857142857,0.015178571428571428,0.014285714285714285,0.012500000000000001,1120.000000000000000000,421.000000000000000000,-93.531974792480469000,41.900386810302734000
"191690102001","",65030.645569620254000000,77114.500763358781000000,29434.730769230770000000,56.000000000000000000,34.671786155490601000,29434.730769230770000000,0.072013093289689037,0.041262135922330100,0.462889965348551310,0.321523472099202840,0.046058458813108945,0.317094774136403860,0.297608503100088570,0.017714791851195750,0.048854961832061068,1.000000000000000000,128693.000000000000000000,167141.000000000000000000,0.603127326880119160,0.985431235431235450,1.000000000000000000,0.060023310023310024,0.074009324009324015,0.083333333333333329,0.072261072261072257,0.052447552447552448,0.058857808857808856,0.055944055944055944,0.072843822843822847,0.071678321678321680,0.086829836829836832,0.069347319347319344,0.071095571095571089,0.052447552447552448,0.036130536130536128,0.029137529137529136,0.019230769230769232,0.013986013986013986,0.020396270396270396,1716.000000000000000000,655.000000000000000000,-93.403427124023438000,41.902679443359375000
"191690102002","",66285.764705882350000000,74546.300567107755000000,29739.813725490196000000,51.000000000000000000,16.624005951688062000,29739.813725490196000000,-0.011214953271028037,-0.073375262054507340,0.547761171479534290,0.321389793702497260,0.055374592833876225,0.281216069489685140,0.288816503800217170,0.053203040173724209,0.041587901701323253,1.000000000000000000,149074.000000000000000000,170577.000000000000000000,0.630123927550047650,0.987933634992458560,1.000000000000000000,0.060331825037707391,0.064102564102564097,0.084464555052790352,0.061840120663650078,0.034690799396681751,0.058069381598793365,0.055806938159879339,0.060331825037707391,0.054298642533936653,0.062594268476621417,0.098039215686274508,0.083710407239818999,0.064102564102564097,0.042986425339366516,0.036199095022624438,0.025641025641025640,0.023378582202111614,0.029411764705882353,1326.000000000000000000,529.000000000000000000,-93.313613891601562000,41.943828582763672000
